coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,number_of_loss_order,average_profit,average_loss,profit_amounts,loss_amounts,avarage_pnl_per_month
eth,689,37,7,7,17,7,10,18.9,-9.5,"""[8.83, 37.67, 5.84, 22.77, 20.24, 1.65, 34.98]""","""[-9.28, -19.89, -16.64, -12.53, -9.48, -2.83, -10.46, -5.45, -5.68, -2.47]""",1.6
eth,689,37,7,8,15,6,9,19.5,-8.8,"""[7.78, 34.76, 4.77, 20.86, 16.11, 32.69]""","""[-13.61, -16.87, -13.27, -9.48, -6.64, -9.38, -0.28, -6.08, -3.87]""",1.6
eth,689,7,7,9,12,5,7,14.3,-9.1,"""[5.25, 33.16, 3.75, 14.61, 14.62]""","""[-17.3, -13.98, -9.65, -9.38, -1.37, -7.6, -4.51]""",0.3
eth,689,-29,7,10,11,4,7,11.5,-10.8,"""[3.58, 20.31, 11.36, 10.64]""","""[-26.26, -17.09, -6.7, -9.38, -3.52, -7.6, -5.25]""",-1.3
eth,689,-52,7,11,11,3,8,12.2,-11.1,"""[20.31, 12.33, 4.01]""","""[-26.26, -2.59, -19.63, -12.02, -9.7, -4.07, -8.98, -5.92]""",-2.3
eth,689,-2,7,12,8,3,5,10.5,-6.9,"""[15.27, 12.33, 4.01]""","""[-2.59, -12.02, -4.07, -8.98, -6.83]""",-0.1
eth,689,-13,7,13,8,3,5,9.7,-8.6,"""[14.78, 11.13, 3.3]""","""[-6.6, -12.02, -6.35, -10.04, -7.75]""",-0.6
eth,689,-23,7,14,8,3,5,7.0,-8.9,"""[7.13, 11.34, 2.48]""","""[-7.03, -12.02, -6.35, -10.04, -9.27]""",-1.0
eth,689,-26,7,15,7,3,4,4.2,-9.8,"""[2.27, 9.62, 0.73]""","""[-10.66, -12.02, -6.35, -10.04]""",-1.2
eth,689,-14,7,16,5,1,4,9.6,-5.9,"""[9.62]""","""[-2.85, -12.02, -1.55, -7.28]""",-0.6
eth,689,-17,7,17,5,1,4,9.6,-6.8,"""[9.62]""","""[-2.85, -12.02, -4.47, -7.82]""",-0.8
eth,689,-26,7,18,5,1,4,7.7,-8.4,"""[7.68]""","""[-6.75, -12.82, -5.85, -8.37]""",-1.1
eth,689,-53,7,19,5,1,4,4.9,-14.6,"""[4.95]""","""[-12.38, -22.63, -11.57, -11.65]""",-2.3
eth,689,-56,7,20,5,1,4,3.6,-14.9,"""[3.6]""","""[-12.38, -22.63, -11.83, -12.88]""",-2.4
eth,689,-30,7,21,4,1,3,23.5,-17.9,"""[23.5]""","""[-18.22, -22.63, -12.88]""",-1.3
eth,689,-33,7,22,4,1,3,23.5,-19.2,"""[23.5]""","""[-21.31, -23.28, -12.88]""",-1.5
eth,689,28,8,7,17,7,10,17.2,-9.2,"""[1.06, 37.67, 5.84, 22.77, 16.11, 1.65, 35.51]""","""[-9.19, -19.89, -16.64, -10.62, -9.48, -2.83, -10.46, -4.73, -5.68, -2.47]""",1.2
eth,689,61,8,8,13,6,7,18.2,-6.9,"""[5.25, 36.76, 3.75, 14.89, 15.74, 32.69]""","""[-13.12, -12.53, -6.64, -5.45, -0.28, -6.08, -3.87]""",2.7
eth,689,-15,8,9,12,4,8,13.9,-8.9,"""[3.58, 26.16, 12.15, 13.69]""","""[-17.87, -13.98, -6.7, -10.15, -9.38, -1.37, -7.6, -4.43]""",-0.7
eth,689,-27,8,10,11,4,7,11.2,-10.3,"""[2.77, 20.31, 12.15, 9.74]""","""[-22.51, -17.09, -6.7, -9.38, -3.52, -7.6, -5.25]""",-1.2
eth,689,-7,8,11,9,3,6,11.8,-7.2,"""[20.31, 11.13, 4.01]""","""[-2.59, -12.02, -9.7, -4.07, -8.98, -5.92]""",-0.3
eth,689,-1,8,12,8,3,5,11.5,-7.3,"""[15.27, 15.28, 4.01]""","""[-3.15, -12.02, -4.4, -10.04, -6.83]""",-0.1
eth,689,-10,8,13,8,3,5,10.6,-8.6,"""[14.07, 15.28, 2.48]""","""[-6.6, -12.02, -6.35, -10.04, -7.75]""",-0.5
eth,689,-18,8,14,7,3,4,6.5,-9.3,"""[7.13, 11.34, 0.93]""","""[-7.64, -12.02, -6.35, -11.39]""",-0.8
eth,689,-21,8,15,6,2,4,4.9,-7.9,"""[0.09, 9.62]""","""[-10.66, -12.02, -1.53, -7.28]""",-0.9
eth,689,-29,8,16,6,1,5,9.6,-7.9,"""[9.62]""","""[-12.56, -2.85, -12.02, -4.12, -7.82]""",-1.3
eth,689,-23,8,17,5,1,4,8.8,-8.0,"""[8.75]""","""[-2.85, -12.82, -7.25, -9.2]""",-1.0
eth,689,-45,8,18,5,1,4,7.0,-13.0,"""[7.01]""","""[-9.34, -21.47, -9.72, -11.65]""",-2.0
eth,689,-56,8,19,5,1,4,3.6,-15.1,"""[3.6]""","""[-12.38, -21.47, -13.77, -12.88]""",-2.5
eth,689,-67,8,20,5,1,4,3.6,-17.7,"""[3.6]""","""[-18.22, -22.63, -16.95, -12.88]""",-2.9
eth,689,-30,8,21,4,1,3,23.5,-18.1,"""[23.5]""","""[-18.22, -22.63, -13.31]""",-1.3
eth,689,-22,8,22,3,1,2,22.3,-22.3,"""[22.33]""","""[-21.31, -23.28]""",-1.0
eth,689,29,9,7,17,7,10,17.2,-9.1,"""[1.06, 37.67, 5.84, 23.27, 16.11, 1.65, 34.98]""","""[-9.19, -19.89, -14.77, -10.69, -9.99, -2.83, -10.46, -4.73, -5.68, -2.47]""",1.3
eth,689,57,9,8,13,6,7,17.8,-7.1,"""[5.25, 36.76, 3.75, 14.89, 14.62, 31.4]""","""[-13.12, -12.53, -6.64, -5.45, -0.28, -7.6, -3.87]""",2.5
eth,689,-18,9,9,12,4,8,13.1,-8.9,"""[3.58, 26.96, 12.15, 9.74]""","""[-17.87, -13.98, -6.7, -9.65, -9.38, -1.81, -7.6, -4.43]""",-0.8
eth,689,-47,9,10,12,4,8,8.9,-10.4,"""[0.36, 20.31, 10.94, 4.01]""","""[-20.73, -17.09, -6.7, -11.23, -9.38, -3.52, -8.98, -5.25]""",-2.1
eth,689,-18,9,11,9,3,6,13.7,-10.0,"""[20.31, 16.82, 4.01]""","""[-26.26, -2.59, -12.02, -4.07, -8.98, -5.92]""",-0.8
eth,689,0,9,12,8,3,5,12.0,-7.3,"""[16.96, 16.71, 2.19]""","""[-3.91, -12.02, -4.07, -10.04, -6.51]""",-0.0
eth,689,-14,9,13,8,3,5,10.1,-9.0,"""[14.71, 15.28, 0.18]""","""[-6.6, -12.02, -6.35, -11.39, -8.67]""",-0.6
eth,689,-31,9,14,8,2,6,9.2,-8.3,"""[7.13, 11.34]""","""[-8.11, -12.02, -2.95, -6.35, -11.39, -9.27]""",-1.4
eth,689,-23,9,15,6,2,4,7.0,-9.3,"""[4.41, 9.62]""","""[-12.56, -12.02, -5.55, -6.9]""",-1.0
eth,689,-33,9,16,6,1,5,9.6,-8.6,"""[9.62]""","""[-12.56, -2.85, -12.02, -8.09, -7.64]""",-1.5
eth,689,-23,9,17,5,1,4,9.6,-8.4,"""[9.62]""","""[-2.85, -12.82, -9.56, -8.37]""",-1.0
eth,689,-49,9,18,5,1,4,7.0,-14.2,"""[7.01]""","""[-6.75, -21.47, -16.95, -11.65]""",-2.2
eth,689,-61,9,19,5,1,4,3.6,-16.2,"""[3.6]""","""[-12.38, -22.63, -16.95, -12.88]""",-2.7
eth,689,-64,9,20,5,1,4,3.6,-17.0,"""[3.6]""","""[-15.01, -22.63, -17.43, -12.88]""",-2.8
eth,689,-30,9,21,4,1,3,23.5,-17.9,"""[23.5]""","""[-18.22, -22.63, -12.88]""",-1.3
eth,689,-35,9,22,4,1,3,22.3,-19.4,"""[22.33]""","""[-21.31, -23.28, -13.52]""",-1.6
eth,689,41,10,7,16,7,9,17.2,-8.8,"""[2.43, 39.84, 4.77, 21.6, 16.11, 1.65, 34.17]""","""[-9.19, -19.89, -12.53, -9.99, -2.83, -10.46, -4.73, -5.74, -3.87]""",1.8
eth,689,18,10,8,13,5,8,16.1,-7.8,"""[5.25, 35.99, 3.75, 20.86, 14.62]""","""[-13.12, -13.27, -11.99, -6.64, -5.45, -0.28, -7.6, -3.87]""",0.8
eth,689,-16,10,9,12,4,8,13.3,-8.7,"""[5.25, 26.16, 12.15, 9.74]""","""[-17.87, -14.35, -6.7, -7.89, -9.38, -1.81, -7.6, -4.13]""",-0.7
eth,689,-52,10,10,12,4,8,8.9,-11.0,"""[1.16, 20.31, 10.17, 4.01]""","""[-26.26, -18.24, -6.7, -11.23, -9.38, -1.81, -8.98, -5.25]""",-2.3
eth,689,-32,10,11,10,3,7,12.6,-10.0,"""[16.96, 16.82, 4.01]""","""[-26.26, -2.59, -12.02, -9.7, -4.07, -10.04, -5.36]""",-1.4
eth,689,-3,10,12,8,3,5,11.4,-7.6,"""[15.27, 16.71, 2.19]""","""[-3.91, -12.02, -4.07, -11.39, -6.51]""",-0.2
eth,689,-22,10,13,8,2,6,11.2,-7.5,"""[7.13, 15.28]""","""[-6.6, -12.02, -1.53, -4.89, -11.39, -8.67]""",-1.0
eth,689,-26,10,14,7,2,5,7.9,-8.4,"""[4.41, 11.34]""","""[-8.15, -12.02, -5.55, -6.9, -9.27]""",-1.1
eth,689,-32,10,15,6,1,5,9.6,-8.5,"""[9.62]""","""[-12.56, -2.85, -12.02, -8.09, -6.9]""",-1.4
eth,689,-25,10,16,5,1,4,9.6,-8.8,"""[9.62]""","""[-2.85, -12.82, -9.56, -9.78]""",-1.1
eth,689,-45,10,17,5,1,4,8.8,-13.7,"""[8.75]""","""[-5.99, -21.47, -16.95, -10.31]""",-2.0
eth,689,-57,10,18,5,1,4,4.9,-15.6,"""[4.95]""","""[-12.38, -21.47, -16.95, -11.65]""",-2.5
eth,689,-63,10,19,5,1,4,3.6,-16.8,"""[3.6]""","""[-15.01, -22.63, -18.02, -11.65]""",-2.8
eth,689,-33,10,20,4,1,3,23.5,-18.9,"""[23.5]""","""[-21.31, -22.63, -12.88]""",-1.5
eth,689,-33,10,21,4,1,3,23.5,-18.9,"""[23.5]""","""[-21.31, -22.63, -12.88]""",-1.5
eth,689,-15,10,22,3,1,2,23.2,-19.6,"""[23.15]""","""[-25.83, -13.31]""",-0.7
eth,689,47,11,7,15,7,8,16.1,-8.1,"""[1.06, 36.76, 4.77, 21.6, 16.11, 0.72, 31.4]""","""[-9.19, -12.53, -9.48, -6.64, -10.57, -4.73, -7.6, -3.87]""",2.1
eth,689,13,11,8,13,5,8,15.7,-8.1,"""[5.25, 35.99, 3.75, 18.7, 14.62]""","""[-13.61, -13.27, -11.99, -8.61, -5.45, -0.28, -7.6, -3.87]""",0.6
eth,689,-23,11,9,12,4,8,13.2,-9.5,"""[5.25, 26.16, 12.15, 9.35]""","""[-17.3, -15.95, -6.7, -12.09, -9.38, -1.81, -8.98, -4.13]""",-1.0
eth,689,-25,11,10,10,4,6,9.0,-10.2,"""[0.36, 20.31, 11.13, 4.01]""","""[-26.26, -6.7, -9.38, -2.37, -11.39, -5.25]""",-1.1
eth,689,-8,11,11,9,3,6,12.6,-7.7,"""[16.96, 16.82, 4.01]""","""[-2.59, -12.02, -9.7, -4.07, -11.39, -6.23]""",-0.4
eth,689,-13,11,12,8,3,5,8.8,-8.0,"""[11.14, 12.72, 2.48]""","""[-3.91, -12.02, -4.57, -11.39, -8.06]""",-0.6
eth,689,-16,11,13,7,2,5,9.2,-6.9,"""[7.13, 11.34]""","""[-7.03, -12.02, -1.53, -5.46, -8.67]""",-0.7
eth,689,-30,11,14,7,2,5,7.4,-9.0,"""[4.41, 10.46]""","""[-12.56, -12.02, -4.12, -6.9, -9.27]""",-1.3
eth,689,-24,11,15,5,1,4,7.7,-8.0,"""[7.68]""","""[-2.85, -12.02, -7.53, -9.42]""",-1.1
eth,689,-36,11,16,5,1,4,5.6,-10.6,"""[5.6]""","""[-5.99, -12.82, -13.77, -9.78]""",-1.6
eth,689,-15,11,17,4,1,3,25.9,-13.6,"""[25.89]""","""[-9.14, -21.47, -10.31]""",-0.7
eth,689,-19,11,18,4,1,3,25.1,-14.9,"""[25.11]""","""[-12.38, -21.47, -10.84]""",-0.9
eth,689,-25,11,19,4,1,3,23.5,-16.4,"""[23.5]""","""[-15.01, -22.63, -11.65]""",-1.1
eth,689,-33,11,20,4,1,3,23.5,-18.9,"""[23.5]""","""[-21.31, -22.63, -12.88]""",-1.5
eth,689,-15,11,21,3,1,2,23.5,-19.4,"""[23.5]""","""[-25.83, -12.88]""",-0.7
eth,689,-17,11,22,3,1,2,23.2,-20.1,"""[23.15]""","""[-26.85, -13.31]""",-0.7
eth,689,49,12,7,15,7,8,16.5,-8.2,"""[1.06, 39.84, 3.75, 20.86, 16.11, 0.72, 32.87]""","""[-9.19, -12.53, -9.48, -7.49, -9.31, -4.73, -8.98, -3.87]""",2.2
eth,689,3,12,8,13,4,9,19.3,-8.2,"""[7.78, 35.99, 18.7, 14.62]""","""[-13.12, -13.98, -6.7, -11.99, -8.61, -5.45, -0.72, -8.98, -3.87]""",0.2
eth,689,-13,12,9,11,4,7,13.2,-9.5,"""[3.58, 26.96, 12.33, 9.74]""","""[-16.15, -15.95, -6.7, -9.38, -2.37, -11.39, -4.43]""",-0.6
eth,689,-31,12,10,10,4,6,8.9,-11.2,"""[0.13, 20.31, 11.13, 4.01]""","""[-24.67, -12.02, -9.38, -4.07, -11.39, -5.56]""",-1.4
eth,689,-41,12,11,10,3,7,11.0,-10.6,"""[16.96, 12.83, 3.3]""","""[-26.26, -2.59, -12.02, -9.7, -4.57, -11.39, -7.77]""",-1.8
eth,689,-6,12,12,7,3,4,8.6,-8.1,"""[11.14, 12.72, 2.03]""","""[-6.6, -12.02, -5.13, -8.67]""",-0.3
eth,689,-16,12,13,7,2,5,9.9,-7.4,"""[10.51, 9.37]""","""[-7.03, -12.02, -1.55, -6.9, -9.27]""",-0.7
eth,689,-28,12,14,6,2,4,5.8,-10.0,"""[4.41, 7.25]""","""[-12.56, -12.02, -5.85, -9.42]""",-1.2
eth,689,7,12,15,4,1,3,32.0,-8.1,"""[32.04]""","""[-2.85, -12.02, -9.42]""",0.3
eth,689,-11,12,16,4,1,3,25.9,-12.5,"""[25.89]""","""[-5.99, -21.47, -10.14]""",-0.5
eth,689,-15,12,17,4,1,3,25.9,-13.8,"""[25.89]""","""[-9.14, -21.47, -10.84]""",-0.7
eth,689,-23,12,18,4,1,3,25.7,-16.4,"""[25.74]""","""[-15.01, -22.63, -11.65]""",-1.0
eth,689,-25,12,19,4,1,3,25.1,-16.8,"""[25.11]""","""[-15.01, -22.63, -12.88]""",-1.1
eth,689,-33,12,20,4,1,3,23.5,-19.2,"""[23.5]""","""[-21.31, -23.28, -12.88]""",-1.5
eth,689,-15,12,21,3,1,2,23.5,-19.6,"""[23.5]""","""[-25.83, -13.31]""",-0.7
eth,689,-17,12,22,3,1,2,22.3,-19.7,"""[22.33]""","""[-25.83, -13.52]""",-0.7
eth,689,51,13,7,15,7,8,17.2,-8.6,"""[2.43, 39.84, 3.75, 20.86, 19.86, 0.72, 32.87]""","""[-9.19, -12.53, -9.48, -8.61, -10.46, -5.45, -8.98, -3.87]""",2.3
eth,689,20,13,8,14,5,9,20.2,-9.0,"""[5.25, 35.99, 18.23, 10.64, 30.91]""","""[-13.12, -13.27, -6.7, -11.99, -11.23, -9.38, -0.72, -10.35, -4.13]""",0.9
eth,689,-18,13,9,11,4,7,13.4,-10.3,"""[3.58, 26.96, 12.33, 10.64]""","""[-15.47, -15.95, -12.02, -9.38, -2.37, -11.39, -5.25]""",-0.8
eth,689,-30,13,10,10,4,6,8.0,-10.4,"""[0.36, 20.31, 7.32, 4.01]""","""[-19.0, -12.02, -9.38, -4.57, -11.39, -6.23]""",-1.3
eth,689,-34,13,11,9,3,6,10.8,-11.2,"""[16.96, 12.83, 2.48]""","""[-26.26, -2.59, -12.02, -9.7, -5.13, -11.25]""",-1.5
eth,689,-7,13,12,7,3,4,8.0,-7.8,"""[12.77, 10.46, 0.73]""","""[-4.46, -12.02, -5.46, -9.27]""",-0.3
eth,689,-9,13,13,6,2,4,10.3,-7.6,"""[11.14, 9.37]""","""[-7.36, -12.02, -1.55, -9.42]""",-0.4
eth,689,-29,13,14,6,2,4,5.0,-9.9,"""[4.41, 5.6]""","""[-12.56, -12.82, -4.66, -9.42]""",-1.3
eth,689,-4,13,15,4,2,2,13.6,-15.6,"""[1.34, 25.89]""","""[-21.47, -9.78]""",-0.2
eth,689,-13,13,16,4,1,3,25.9,-13.2,"""[25.89]""","""[-5.99, -22.63, -10.84]""",-0.6
eth,689,-18,13,17,4,1,3,25.1,-14.5,"""[25.11]""","""[-9.14, -22.63, -11.65]""",-0.8
eth,689,-24,13,18,4,1,3,23.5,-15.8,"""[23.5]""","""[-12.58, -23.28, -11.65]""",-1.0
eth,689,-29,13,19,4,1,3,23.5,-17.7,"""[23.5]""","""[-15.01, -25.2, -12.88]""",-1.3
eth,689,-32,13,20,4,1,3,23.5,-18.8,"""[23.5]""","""[-18.21, -25.2, -12.88]""",-1.4
eth,689,-19,13,21,3,1,2,22.3,-21.1,"""[22.33]""","""[-25.83, -16.41]""",-0.9
eth,689,-4,13,22,2,1,1,20.9,-25.8,"""[20.92]""","""[-25.83]""",-0.2
eth,689,40,14,7,15,6,9,18.7,-8.0,"""[2.43, 36.76, 20.86, 18.71, 0.72, 32.87]""","""[-9.19, -12.53, -6.7, -9.48, -4.89, -10.46, -5.45, -8.98, -3.87]""",1.8
eth,689,23,14,8,14,5,9,19.8,-8.4,"""[5.25, 35.99, 18.23, 10.64, 28.67]""","""[-11.18, -13.31, -6.7, -10.06, -11.23, -9.38, -0.72, -8.98, -3.87]""",1.0
eth,689,-31,14,9,12,4,8,12.9,-10.3,"""[3.58, 26.16, 11.36, 10.64]""","""[-15.12, -17.09, -12.02, -11.23, -9.38, -2.37, -10.35, -5.25]""",-1.4
eth,689,-16,14,10,9,4,5,9.2,-10.6,"""[0.36, 20.31, 7.32, 8.6]""","""[-19.0, -12.02, -4.57, -11.39, -6.23]""",-0.7
eth,689,-26,14,11,8,3,5,10.1,-11.4,"""[16.96, 12.72, 0.73]""","""[-26.26, -2.59, -12.02, -5.13, -11.25]""",-1.2
eth,689,-2,14,12,6,2,4,11.2,-6.2,"""[11.14, 11.34]""","""[-4.46, -12.82, -0.48, -6.9]""",-0.1
